t,detected,conf,cx,cy,size
25.359,True,0.529,0.774,0.800,0.0371
25.432,True,0.767,0.797,0.811,0.0345
25.498,True,0.781,0.827,0.811,0.0326
25.567,True,0.804,0.838,0.806,0.0314
25.631,True,0.798,0.845,0.804,0.0304
25.712,True,0.832,0.859,0.797,0.0285
25.772,True,0.814,0.863,0.787,0.0287
25.831,True,0.824,0.868,0.781,0.0286
25.906,True,0.818,0.866,0.749,0.0330
25.965,True,0.836,0.859,0.704,0.0399
26.032,True,0.861,0.847,0.583,0.0391
26.115,True,0.887,0.832,0.476,0.0385
26.200,True,0.839,0.784,0.340,0.0346
26.265,True,0.860,0.751,0.257,0.0330
26.312,True,0.844,0.734,0.225,0.0318
26.366,True,0.844,0.706,0.167,0.0323
26.434,True,0.855,0.673,0.115,0.0318
26.505,True,0.844,0.642,0.067,0.0309
26.565,True,0.849,0.628,0.026,0.0303
26.634,True,0.849,0.623,-0.003,0.0329
26.719,True,0.854,0.623,-0.022,0.0310
26.804,True,0.848,0.663,-0.033,0.0317
26.867,True,0.844,0.691,-0.047,0.0300
26.915,True,0.852,0.706,-0.058,0.0297
27.002,True,0.857,0.743,-0.082,0.0289
27.067,True,0.860,0.765,-0.094,0.0279
27.132,True,0.866,0.774,-0.117,0.0267
27.199,True,0.841,0.784,-0.131,0.0268
27.267,True,0.857,0.786,-0.158,0.0262
27.317,True,0.871,0.787,-0.168,0.0255
27.402,True,0.737,0.782,-0.204,0.0259
27.466,True,0.752,0.778,-0.237,0.0250
27.531,True,0.745,0.772,-0.261,0.0254
27.599,True,0.781,0.769,-0.296,0.0250
27.668,True,0.792,0.759,-0.325,0.0238
27.717,True,0.753,0.756,-0.340,0.0247
27.804,True,0.770,0.745,-0.383,0.0250
27.865,False,0.000,0.000,0.000,0.0000
27.915,True,0.604,0.731,-0.442,0.0246
28.000,True,0.488,0.713,-0.475,0.0250
28.069,False,0.000,0.000,0.000,0.0000
28.134,True,0.559,0.684,-0.507,0.0261
28.201,True,0.754,0.673,-0.514,0.0269
28.266,True,0.758,0.651,-0.533,0.0268
28.320,True,0.798,0.647,-0.540,0.0285
28.401,True,0.794,0.607,-0.554,0.0311
28.466,True,0.812,0.581,-0.565,0.0321
28.537,True,0.853,0.552,-0.574,0.0326
28.602,True,0.824,0.519,-0.579,0.0324
28.668,True,0.778,0.479,-0.579,0.0320
28.734,True,0.764,0.446,-0.575,0.0339
28.801,True,0.763,0.401,-0.571,0.0328
28.866,True,0.825,0.361,-0.562,0.0326
28.925,True,0.831,0.347,-0.560,0.0341
29.001,True,0.822,0.282,-0.543,0.0325
29.064,True,0.814,0.242,-0.528,0.0310
29.116,True,0.789,0.229,-0.519,0.0326
29.167,True,0.809,0.187,-0.496,0.0329
29.232,True,0.759,0.138,-0.467,0.0312
29.322,True,0.827,0.102,-0.440,0.0319
29.403,True,0.831,0.058,-0.400,0.0317
29.468,True,0.836,0.034,-0.379,0.0315
29.543,True,0.818,0.013,-0.381,0.0301
29.598,True,0.844,0.003,-0.388,0.0293
29.667,True,0.833,-0.010,-0.404,0.0299
29.721,True,0.771,-0.015,-0.417,0.0304
29.802,True,0.822,-0.033,-0.432,0.0315
29.869,True,0.833,-0.070,-0.442,0.0288
29.922,True,0.850,-0.098,-0.446,0.0288
30.005,True,0.872,-0.147,-0.454,0.0279
30.067,True,0.863,-0.186,-0.454,0.0286
30.121,True,0.881,-0.204,-0.456,0.0287
30.203,True,0.889,-0.255,-0.442,0.0285
30.270,True,0.891,-0.287,-0.426,0.0279
30.326,True,0.879,-0.302,-0.418,0.0291
30.402,True,0.873,-0.352,-0.404,0.0287
30.470,True,0.873,-0.381,-0.399,0.0285
30.544,True,0.878,-0.405,-0.394,0.0289
30.600,True,0.877,-0.432,-0.389,0.0278
30.667,True,0.878,-0.454,-0.385,0.0280
30.732,True,0.874,-0.475,-0.375,0.0282
30.798,True,0.882,-0.497,-0.382,0.0271
30.868,True,0.881,-0.520,-0.372,0.0278
30.934,True,0.890,-0.546,-0.356,0.0284
31.000,True,0.869,-0.577,-0.317,0.0305
31.069,True,0.860,-0.608,-0.303,0.0280
31.124,True,0.838,-0.625,-0.285,0.0295
31.201,True,0.799,-0.663,-0.233,0.0303
31.266,True,0.792,-0.687,-0.206,0.0304
31.333,True,0.798,-0.705,-0.178,0.0338
31.392,True,0.781,-0.734,-0.138,0.0347
31.458,True,0.792,-0.759,-0.093,0.0374
31.530,True,0.793,-0.788,-0.031,0.0379
31.591,True,0.795,-0.816,0.039,0.0386
31.660,True,0.843,-0.837,0.114,0.0360
31.732,True,0.822,-0.847,0.185,0.0352
31.799,True,0.868,-0.863,0.261,0.0308
31.872,True,0.834,-0.866,0.307,0.0306
31.930,True,0.852,-0.864,0.332,0.0315
31.998,True,0.861,-0.866,0.362,0.0315
32.067,True,0.850,-0.862,0.376,0.0321
32.133,True,0.846,-0.857,0.399,0.0351
32.198,True,0.868,-0.855,0.419,0.0363
32.268,True,0.871,-0.852,0.435,0.0375
32.334,True,0.862,-0.845,0.463,0.0410
32.398,True,0.848,-0.838,0.494,0.0427
32.467,True,0.873,-0.835,0.529,0.0446
32.545,True,0.837,-0.827,0.574,0.0480
32.599,True,0.834,-0.814,0.633,0.0553
32.669,True,0.838,-0.801,0.682,0.0611
32.734,True,0.837,-0.777,0.713,0.0613
32.802,True,0.834,-0.742,0.728,0.0574
32.868,True,0.854,-0.693,0.739,0.0537
32.934,True,0.845,-0.641,0.746,0.0505
33.002,True,0.845,-0.562,0.760,0.0482
33.069,True,0.834,-0.477,0.758,0.0470
33.135,True,0.835,-0.387,0.772,0.0461
33.202,True,0.840,-0.303,0.789,0.0413
33.267,True,0.833,-0.225,0.808,0.0381
33.333,True,0.768,-0.159,0.829,0.0336
33.401,True,0.674,-0.091,0.840,0.0323
33.469,False,0.000,0.000,0.000,0.0000
33.550,False,0.000,0.000,0.000,0.0000
33.637,False,0.000,0.000,0.000,0.0000
33.700,False,0.000,0.000,0.000,0.0000
33.767,False,0.000,0.000,0.000,0.0000
33.837,False,0.000,0.000,0.000,0.0000
33.901,True,0.744,0.311,0.856,0.0278
33.966,True,0.811,0.328,0.840,0.0337
34.033,True,0.855,0.356,0.808,0.0389
34.100,True,0.849,0.364,0.775,0.0454
34.167,True,0.857,0.370,0.765,0.0462
34.232,True,0.858,0.381,0.765,0.0455
34.302,True,0.867,0.388,0.765,0.0464
34.368,True,0.862,0.404,0.764,0.0461
34.436,True,0.847,0.423,0.758,0.0448
34.498,True,0.865,0.444,0.758,0.0448
34.565,True,0.866,0.462,0.744,0.0454
34.637,True,0.869,0.480,0.742,0.0471
34.698,True,0.887,0.495,0.726,0.0487
34.768,True,0.856,0.515,0.686,0.0464
34.835,True,0.876,0.520,0.617,0.0444
34.902,True,0.837,0.529,0.535,0.0411
34.967,True,0.844,0.534,0.451,0.0389
35.037,True,0.847,0.532,0.385,0.0376
35.101,True,0.863,0.529,0.312,0.0356
35.169,True,0.862,0.524,0.237,0.0326
35.233,True,0.865,0.521,0.161,0.0323
35.303,True,0.855,0.513,0.090,0.0307
35.370,True,0.846,0.499,0.015,0.0301
35.435,True,0.841,0.485,-0.060,0.0293
35.499,True,0.851,0.464,-0.133,0.0295
35.567,True,0.540,0.417,-0.219,0.0386
35.632,True,0.652,0.412,-0.292,0.0344
35.701,True,0.724,0.386,-0.362,0.0356
35.769,True,0.706,0.359,-0.414,0.0345
35.836,True,0.747,0.327,-0.467,0.0333
35.908,True,0.671,0.283,-0.507,0.0380
35.969,True,0.691,0.240,-0.540,0.0391
36.034,True,0.738,0.204,-0.564,0.0341
36.101,True,0.755,0.166,-0.578,0.0395
36.167,True,0.787,0.132,-0.589,0.0385
36.231,True,0.804,0.112,-0.604,0.0344
36.299,True,0.823,0.086,-0.614,0.0340
36.366,True,0.875,0.047,-0.617,0.0317
36.435,True,0.882,0.005,-0.621,0.0316
36.500,True,0.892,-0.035,-0.617,0.0321
36.568,True,0.890,-0.084,-0.607,0.0327
36.636,True,0.874,-0.133,-0.590,0.0348
36.701,True,0.885,-0.183,-0.562,0.0344
36.763,True,0.883,-0.227,-0.531,0.0349
36.836,True,0.889,-0.284,-0.478,0.0354
36.901,True,0.892,-0.331,-0.419,0.0359
36.967,True,0.878,-0.387,-0.372,0.0357
37.037,True,0.864,-0.438,-0.306,0.0365
37.103,True,0.878,-0.478,-0.218,0.0357
37.166,True,0.858,-0.511,-0.132,0.0373
37.235,True,0.874,-0.537,-0.037,0.0390
37.300,True,0.870,-0.552,0.067,0.0398
